/cm/local/apps/slurm/var/spool/job851027/slurm_script: line 12: activate: No such file or directory
A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
Episode 317, Total Reward: 0.0, Epsilon: 0.9844974999999867
Episode 318, Total Reward: 6.0, Epsilon: 0.9844487499999867
Episode 319, Total Reward: 0.0, Epsilon: 0.9843999999999866
Episode 320, Total Reward: 0.0, Epsilon: 0.9843512499999866
Episode 321, Total Reward: 6.0, Epsilon: 0.9843024999999865
Episode 322, Total Reward: 0.0, Epsilon: 0.9842537499999865
Episode 323, Total Reward: 0.0, Epsilon: 0.9842049999999865
Episode 324, Total Reward: 6.0, Epsilon: 0.9841562499999864
Episode 325, Total Reward: 0.0, Epsilon: 0.9841074999999864
Episode 326, Total Reward: 0.0, Epsilon: 0.9840587499999863
Episode 327, Total Reward: 6.0, Epsilon: 0.9840099999999863
Episode 328, Total Reward: 0.0, Epsilon: 0.9839612499999862
Episode 329, Total Reward: 0.0, Epsilon: 0.9839124999999862
Episode 330, Total Reward: 6.0, Epsilon: 0.9838637499999862
Episode 331, Total Reward: 0.0, Epsilon: 0.9838149999999861
Episode 332, Total Reward: 0.0, Epsilon: 0.9837662499999861
Episode 333, Total Reward: 6.0, Epsilon: 0.983717499999986
Episode 334, Total Reward: 0.0, Epsilon: 0.983668749999986
Episode 335, Total Reward: 0.0, Epsilon: 0.983619999999986
Episode 336, Total Reward: 6.0, Epsilon: 0.9835712499999859
Episode 337, Total Reward: 0.0, Epsilon: 0.9835224999999859
Episode 338, Total Reward: 0.0, Epsilon: 0.9834737499999858
Episode 339, Total Reward: 6.0, Epsilon: 0.9834249999999858
Episode 340, Total Reward: 0.0, Epsilon: 0.9833762499999857
Episode 341, Total Reward: 0.0, Epsilon: 0.9833274999999857
Episode 342, Total Reward: 6.0, Epsilon: 0.9832787499999857
Episode 343, Total Reward: 0.0, Epsilon: 0.9832299999999856
Episode 344, Total Reward: 0.0, Epsilon: 0.9831812499999856
Episode 345, Total Reward: 6.0, Epsilon: 0.9831324999999855
Episode 346, Total Reward: 0.0, Epsilon: 0.9830837499999855
