/home/rsaadatifard/anaconda/envs/envRL/lib/python3.8/site-packages/google/protobuf/internal/api_implementation.py:87: UserWarning: Selected implementation cpp is not available.
  warnings.warn(
python version: 3.8.20 (default, Oct  3 2024, 15:24:27) 
[GCC 11.2.0]'
GPU available: True
running on cuda


----------------------------------------------
INFO:
----------------------------------------------
GAME: roms/ms_pacman.bin
DEVICE: cuda
NAME: FRANKbootstrap_fasteranneal_pong
DUELING: False
DOUBLE_DQN: True
PRIOR: True
PRIOR_SCALE: 1
N_ENSEMBLE: 1
LEARN_EVERY_STEPS: 4
BERNOULLI_PROBABILITY: 1.0
TARGET_UPDATE: 10000
MIN_HISTORY_TO_LEARN: 50000
NORM_BY: 255.0
EPS_INITIAL: 1.0
EPS_FINAL: 0.01
EPS_EVAL: 0.0
EPS_ANNEALING_FRAMES: 1000000
EPS_FINAL_FRAME: 0.01
NUM_EVAL_EPISODES: 5
BUFFER_SIZE: 1000000
CHECKPOINT_EVERY_STEPS: 10000000
EVAL_FREQUENCY: 250000
ADAM_LEARNING_RATE: 6.25e-05
RMS_LEARNING_RATE: 0.00025
RMS_DECAY: 0.95
RMS_MOMENTUM: 0.0
RMS_EPSILON: 1e-05
RMS_CENTERED: True
HISTORY_SIZE: 4
N_EPOCHS: 90000
BATCH_SIZE: 32
GAMMA: 0.99
PLOT_EVERY_EPISODES: 50
CLIP_GRAD: 5
SEED: 101
RANDOM_HEAD: -1
NETWORK_INPUT_SIZE: (84, 84)
START_TIME: 1733400504.4129055
MAX_STEPS: 200000
MAX_EPISODE_STEPS: 27000
FRAME_SKIP: 4
MAX_NO_OP_FRAMES: 30
DEAD_AS_END: True
IMPROVEMENT: ['swin', '']
----------------------------------------------


----------------------------------------------
starting NEW project: model_savedir/ms_pacman08
Training Progress:   0%|          | 0/200000 [00:00<?, ?step/s]step : 0
Step: 51004, Avg Reward (last 30): 231.67, Loss: 0.0352
Step: 51008, Avg Reward (last 30): 231.67, Loss: 0.0353
Step: 51012, Avg Reward (last 30): 231.67, Loss: 0.0353
Step: 51016, Avg Reward (last 30): 231.67, Loss: 0.0355
Step: 51020, Avg Reward (last 30): 231.67, Loss: 0.0356
Step: 51024, Avg Reward (last 30): 231.67, Loss: 0.0357
Step: 51028, Avg Reward (last 30): 231.67, Loss: 0.0360
Step: 51032, Avg Reward (last 30): 231.67, Loss: 0.0363
Step: 51036, Avg Reward (last 30): 231.67, Loss: 0.0363
Step: 51040, Avg Reward (last 30): 231.67, Loss: 0.0362
Step: 51044, Avg Reward (last 30): 231.67, Loss: 0.0364
Step: 51048, Avg Reward (last 30): 231.67, Loss: 0.0362
Step: 51052, Avg Reward (last 30): 231.67, Loss: 0.0359
Step: 51056, Avg Reward (last 30): 231.67, Loss: 0.0357
Step: 51060, Avg Reward (last 30): 231.67, Loss: 0.0353
Step: 51064, Avg Reward (last 30): 231.67, Loss: 0.0352
Step: 51068, Avg Reward (last 30): 231.67, Loss: 0.0353
Step: 51072, Avg Reward (last 30): 231.67, Loss: 0.0352
Step: 51076, Avg Reward (last 30): 231.67, Loss: 0.0349
Step: 51080, Avg Reward (last 30): 231.67, Loss: 0.0347
Step: 51084, Avg Reward (last 30): 231.67, Loss: 0.0344
Step: 51088, Avg Reward (last 30): 231.67, Loss: 0.0343
Step: 51092, Avg Reward (last 30): 231.67, Loss: 0.0340
Step: 51096, Avg Reward (last 30): 231.67, Loss: 0.0340
Step: 51100, Avg Reward (last 30): 231.67, Loss: 0.0338
Step: 51104, Avg Reward (last 30): 231.67, Loss: 0.0337
Step: 51108, Avg Reward (last 30): 231.67, Loss: 0.0334
Step: 51112, Avg Reward (last 30): 231.67, Loss: 0.0332
Step: 51116, Avg Reward (last 30): 231.67, Loss: 0.0334
Step: 51120, Avg Reward (last 30): 231.67, Loss: 0.0334
Step: 51124, Avg Reward (last 30): 231.67, Loss: 0.0338
Step: 51128, Avg Reward (last 30): 231.67, Loss: 0.0342
Step: 51132, Avg Reward (last 30): 231.67, Loss: 0.0344
Step: 51136, Avg Reward (last 30): 231.67, Loss: 0.0344
Step: 51140, Avg Reward (last 30): 231.67, Loss: 0.0342
Step: 51144, Avg Reward (last 30): 231.67, Loss: 0.0340
Step: 51148, Avg Reward (last 30): 231.67, Loss: 0.0341
Step: 51152, Avg Reward (last 30): 231.67, Loss: 0.0342
Step: 51156, Avg Reward (last 30): 231.67, Loss: 0.0341
Step: 51160, Avg Reward (last 30): 231.67, Loss: 0.0341
Step: 51164, Avg Reward (last 30): 231.67, Loss: 0.0340
Step: 51168, Avg Reward (last 30): 231.67, Loss: 0.0338
Step: 51172, Avg Reward (last 30): 231.67, Loss: 0.0338
Step: 51176, Avg Reward (last 30): 231.67, Loss: 0.0337
Step: 51180, Avg Reward (last 30): 231.67, Loss: 0.0337
Step: 51184, Avg Reward (last 30): 231.67, Loss: 0.0335
Step: 51188, Avg Reward (last 30): 231.67, Loss: 0.0335
Step: 51192, Avg Reward (last 30): 231.67, Loss: 0.0336
Step: 51196, Avg Reward (last 30): 231.67, Loss: 0.0338
Step: 51200, Avg Reward (last 30): 231.67, Loss: 0.0347
Step: 51204, Avg Reward (last 30): 231.67, Loss: 0.0356
Step: 51208, Avg Reward (last 30): 231.67, Loss: 0.0362
Step: 51212, Avg Reward (last 30): 231.67, Loss: 0.0367
Step: 51216, Avg Reward (last 30): 231.67, Loss: 0.0373
Step: 51220, Avg Reward (last 30): 229.33, Loss: 0.1180
Step: 51224, Avg Reward (last 30): 229.33, Loss: 0.1190
Step: 51228, Avg Reward (last 30): 229.33, Loss: 0.1115
Step: 51232, Avg Reward (last 30): 229.33, Loss: 0.1141
